lr-AdamW,step,vqa/train/loss,vqa/train/score,epoch,vqa/val/loss,vqa/val/score,vqa/val/score_epoch,vqa/val/loss_epoch,val/the_metric,vqa/train/score_epoch,vqa/train/loss_epoch,train/the_metric
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
,9,1419.2864990234375,0.0,0,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
,19,774.8534545898438,0.0,0,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
,29,396.33648681640625,0.0,0,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
,39,219.9409942626953,0.09999999403953552,0,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
,49,138.7684326171875,0.14374999701976776,0,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
,59,97.98684692382812,0.2874999940395355,0,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
,69,72.24542236328125,0.3125,0,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
,79,57.8832893371582,0.22499999403953552,0,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
,89,47.070281982421875,0.23750001192092896,0,,,,,,,,
0.0001,99,,,,,,,,,,,
0.0001,99,,,,,,,,,,,
