lr-AdamW,step,nlvr2/train/loss,nlvr2/train/accuracy,epoch,nlvr2/val/accuracy_epoch,nlvr2/val/loss_epoch,val/the_metric,nlvr2/train/accuracy_epoch,nlvr2/train/loss_epoch,train/the_metric
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
,9,0.7797070741653442,0.5,0,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
,19,0.611606776714325,0.75,0,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
,29,0.7298263311386108,0.4375,0,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
,39,0.7903991937637329,0.3125,0,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
,49,0.724919319152832,0.375,0,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
,59,0.7152653336524963,0.5625,0,,,,,,
0.0001,69,,,,,,,,,
0.0001,69,,,,,,,,,
0.0001,69,,,,,,,,,
0.0001,69,,,,,,,,,
,69,0.678553581237793,0.6875,0,,,,,,
0.0001,79,,,,,,,,,
0.0001,79,,,,,,,,,
0.0001,79,,,,,,,,,
0.0001,79,,,,,,,,,
,79,0.6946136951446533,0.625,0,,,,,,
0.0001,89,,,,,,,,,
0.0001,89,,,,,,,,,
0.0001,89,,,,,,,,,
0.0001,89,,,,,,,,,
,89,0.7530413866043091,0.375,0,,,,,,
0.0001,99,,,,,,,,,
0.0001,99,,,,,,,,,
0.0001,99,,,,,,,,,
0.0001,99,,,,,,,,,
,99,0.6855438351631165,0.625,0,,,,,,
0.0001,109,,,,,,,,,
0.0001,109,,,,,,,,,
0.0001,109,,,,,,,,,
0.0001,109,,,,,,,,,
,109,0.68746018409729,0.5,0,,,,,,
0.0001,119,,,,,,,,,
0.0001,119,,,,,,,,,
0.0001,119,,,,,,,,,
0.0001,119,,,,,,,,,
,119,0.7020449638366699,0.375,0,,,,,,
0.0001,129,,,,,,,,,
0.0001,129,,,,,,,,,
0.0001,129,,,,,,,,,
0.0001,129,,,,,,,,,
,129,0.6820666193962097,0.5625,0,,,,,,
0.0001,139,,,,,,,,,
0.0001,139,,,,,,,,,
0.0001,139,,,,,,,,,
0.0001,139,,,,,,,,,
,139,0.6671568155288696,0.625,0,,,,,,
0.0001,149,,,,,,,,,
0.0001,149,,,,,,,,,
0.0001,149,,,,,,,,,
0.0001,149,,,,,,,,,
,149,0.6890932321548462,0.5625,0,,,,,,
0.0001,159,,,,,,,,,
0.0001,159,,,,,,,,,
0.0001,159,,,,,,,,,
0.0001,159,,,,,,,,,
,159,0.690865695476532,0.6875,0,,,,,,
0.0001,169,,,,,,,,,
0.0001,169,,,,,,,,,
0.0001,169,,,,,,,,,
0.0001,169,,,,,,,,,
,169,0.6941721439361572,0.4375,0,,,,,,
0.0001,179,,,,,,,,,
0.0001,179,,,,,,,,,
0.0001,179,,,,,,,,,
0.0001,179,,,,,,,,,
,179,0.7062779664993286,0.5,0,,,,,,
