lr-AdamW,step,nlvr2/train/loss,nlvr2/train/accuracy,epoch,nlvr2/val/accuracy_epoch,nlvr2/val/loss_epoch,val/the_metric,nlvr2/train/accuracy_epoch,nlvr2/train/loss_epoch,train/the_metric
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
,9,0.8835628628730774,0.375,0,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
,19,0.7064856886863708,0.5,0,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
,29,0.7430053949356079,0.5,0,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
,39,0.7659502029418945,0.25,0,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
,49,0.7282780408859253,0.5,0,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
,59,0.670329749584198,0.5625,0,,,,,,
0.0001,69,,,,,,,,,
0.0001,69,,,,,,,,,
0.0001,69,,,,,,,,,
0.0001,69,,,,,,,,,
,69,0.700968861579895,0.4375,0,,,,,,
0.0001,79,,,,,,,,,
0.0001,79,,,,,,,,,
0.0001,79,,,,,,,,,
0.0001,79,,,,,,,,,
,79,0.7903801202774048,0.375,0,,,,,,
0.0001,89,,,,,,,,,
0.0001,89,,,,,,,,,
0.0001,89,,,,,,,,,
0.0001,89,,,,,,,,,
,89,0.7605079412460327,0.375,0,,,,,,
0.0001,99,,,,,,,,,
0.0001,99,,,,,,,,,
0.0001,99,,,,,,,,,
0.0001,99,,,,,,,,,
,99,0.6683230400085449,0.625,0,,,,,,
0.0001,109,,,,,,,,,
0.0001,109,,,,,,,,,
0.0001,109,,,,,,,,,
0.0001,109,,,,,,,,,
,109,0.6985681056976318,0.5,0,,,,,,
0.0001,119,,,,,,,,,
0.0001,119,,,,,,,,,
0.0001,119,,,,,,,,,
0.0001,119,,,,,,,,,
,119,0.7103983759880066,0.375,0,,,,,,
0.0001,129,,,,,,,,,
0.0001,129,,,,,,,,,
0.0001,129,,,,,,,,,
0.0001,129,,,,,,,,,
,129,0.6836036443710327,0.5625,0,,,,,,
0.0001,139,,,,,,,,,
0.0001,139,,,,,,,,,
0.0001,139,,,,,,,,,
0.0001,139,,,,,,,,,
,139,0.6833515167236328,0.625,0,,,,,,
0.0001,149,,,,,,,,,
0.0001,149,,,,,,,,,
0.0001,149,,,,,,,,,
0.0001,149,,,,,,,,,
,149,0.6822115182876587,0.5625,0,,,,,,
0.0001,159,,,,,,,,,
0.0001,159,,,,,,,,,
0.0001,159,,,,,,,,,
0.0001,159,,,,,,,,,
,159,0.6893009543418884,0.625,0,,,,,,
0.0001,169,,,,,,,,,
0.0001,169,,,,,,,,,
0.0001,169,,,,,,,,,
0.0001,169,,,,,,,,,
,169,0.669238269329071,0.6875,0,,,,,,
0.0001,179,,,,,,,,,
0.0001,179,,,,,,,,,
0.0001,179,,,,,,,,,
0.0001,179,,,,,,,,,
,179,0.6969082951545715,0.5,0,,,,,,
