lr-AdamW,step,nlvr2/train/loss,nlvr2/train/accuracy,val/the_metric,epoch,nlvr2/val/accuracy_epoch,nlvr2/val/loss_epoch,nlvr2/train/accuracy_epoch,nlvr2/train/loss_epoch,train/the_metric
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
0.0001,9,,,,,,,,,
,9,0.698490560054779,0.5625,0.698490560054779,0,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
0.0001,19,,,,,,,,,
,19,0.7506956458091736,0.375,0.7506956458091736,0,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
0.0001,29,,,,,,,,,
,29,0.6734524965286255,0.625,0.6734524965286255,0,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
0.0001,39,,,,,,,,,
,39,0.7069264650344849,0.375,0.7069264650344849,0,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
0.0001,49,,,,,,,,,
,49,0.6626025438308716,0.6875,0.6626025438308716,0,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
0.0001,59,,,,,,,,,
