lr-AdamW,step,vqa/train/loss,vqa/train/score,epoch,vqa/val/loss,vqa/val/score,vqa/val/score_epoch,vqa/val/loss_epoch,val/the_metric,vqa/train/score_epoch,vqa/train/loss_epoch,train/the_metric
0.0001,859,,,,,,,,,,,
0.0001,859,,,,,,,,,,,
0.0001,859,,,,,,,,,,,
0.0001,859,,,,,,,,,,,
0.0001,859,,,,,,,,,,,
0.0001,859,,,,,,,,,,,
0.0001,859,,,,,,,,,,,
0.0001,859,,,,,,,,,,,
,859,6.165979385375977,0.3125,1,,,,,,,,
0.0001,869,,,,,,,,,,,
0.0001,869,,,,,,,,,,,
0.0001,869,,,,,,,,,,,
0.0001,869,,,,,,,,,,,
0.0001,869,,,,,,,,,,,
0.0001,869,,,,,,,,,,,
0.0001,869,,,,,,,,,,,
0.0001,869,,,,,,,,,,,
,869,8.543876647949219,0.26875001192092896,1,,,,,,,,
0.0001,879,,,,,,,,,,,
0.0001,879,,,,,,,,,,,
0.0001,879,,,,,,,,,,,
0.0001,879,,,,,,,,,,,
0.0001,879,,,,,,,,,,,
0.0001,879,,,,,,,,,,,
0.0001,879,,,,,,,,,,,
0.0001,879,,,,,,,,,,,
,879,6.519527912139893,0.34375,1,,,,,,,,
0.0001,889,,,,,,,,,,,
0.0001,889,,,,,,,,,,,
0.0001,889,,,,,,,,,,,
0.0001,889,,,,,,,,,,,
0.0001,889,,,,,,,,,,,
0.0001,889,,,,,,,,,,,
0.0001,889,,,,,,,,,,,
0.0001,889,,,,,,,,,,,
,889,7.771570682525635,0.2874999940395355,1,,,,,,,,
0.0001,899,,,,,,,,,,,
0.0001,899,,,,,,,,,,,
0.0001,899,,,,,,,,,,,
0.0001,899,,,,,,,,,,,
0.0001,899,,,,,,,,,,,
0.0001,899,,,,,,,,,,,
0.0001,899,,,,,,,,,,,
0.0001,899,,,,,,,,,,,
,899,8.301864624023438,0.2874999940395355,1,,,,,,,,
0.0001,909,,,,,,,,,,,
0.0001,909,,,,,,,,,,,
0.0001,909,,,,,,,,,,,
0.0001,909,,,,,,,,,,,
0.0001,909,,,,,,,,,,,
0.0001,909,,,,,,,,,,,
0.0001,909,,,,,,,,,,,
0.0001,909,,,,,,,,,,,
,909,8.527982711791992,0.26875001192092896,1,,,,,,,,
0.0001,919,,,,,,,,,,,
0.0001,919,,,,,,,,,,,
0.0001,919,,,,,,,,,,,
0.0001,919,,,,,,,,,,,
0.0001,919,,,,,,,,,,,
0.0001,919,,,,,,,,,,,
0.0001,919,,,,,,,,,,,
0.0001,919,,,,,,,,,,,
,919,6.891701698303223,0.36250001192092896,1,,,,,,,,
0.0001,929,,,,,,,,,,,
0.0001,929,,,,,,,,,,,
0.0001,929,,,,,,,,,,,
0.0001,929,,,,,,,,,,,
0.0001,929,,,,,,,,,,,
0.0001,929,,,,,,,,,,,
0.0001,929,,,,,,,,,,,
0.0001,929,,,,,,,,,,,
,929,7.5831451416015625,0.3125,1,,,,,,,,
0.0001,939,,,,,,,,,,,
0.0001,939,,,,,,,,,,,
0.0001,939,,,,,,,,,,,
0.0001,939,,,,,,,,,,,
0.0001,939,,,,,,,,,,,
0.0001,939,,,,,,,,,,,
0.0001,939,,,,,,,,,,,
0.0001,939,,,,,,,,,,,
,939,5.804015636444092,0.32499998807907104,1,,,,,,,,
0.0001,949,,,,,,,,,,,
0.0001,949,,,,,,,,,,,
0.0001,949,,,,,,,,,,,
0.0001,949,,,,,,,,,,,
0.0001,949,,,,,,,,,,,
0.0001,949,,,,,,,,,,,
0.0001,949,,,,,,,,,,,
0.0001,949,,,,,,,,,,,
,949,7.174523830413818,0.20624999701976776,1,,,,,,,,
0.0001,959,,,,,,,,,,,
0.0001,959,,,,,,,,,,,
0.0001,959,,,,,,,,,,,
0.0001,959,,,,,,,,,,,
0.0001,959,,,,,,,,,,,
0.0001,959,,,,,,,,,,,
0.0001,959,,,,,,,,,,,
0.0001,959,,,,,,,,,,,
,959,8.072755813598633,0.25,1,,,,,,,,
0.0001,969,,,,,,,,,,,
0.0001,969,,,,,,,,,,,
0.0001,969,,,,,,,,,,,
0.0001,969,,,,,,,,,,,
0.0001,969,,,,,,,,,,,
0.0001,969,,,,,,,,,,,
0.0001,969,,,,,,,,,,,
