lr-AdamW,step,vqa/train/loss,vqa/train/score,val/the_metric,epoch,vqa/val/loss,vqa/val/score,vqa/val/score_epoch,vqa/val/loss_epoch,vqa/train/score_epoch,vqa/train/loss_epoch,train/the_metric
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
,9,8.372323989868164,0.3125,8.372323989868164,0,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
,19,8.241979598999023,0.26875001192092896,8.241979598999023,0,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
,29,8.167458534240723,0.3125,8.167458534240723,0,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
,39,6.604867935180664,0.28125,6.604867935180664,0,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
,49,7.250218391418457,0.375,7.250218391418457,0,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
,59,6.972928524017334,0.30000001192092896,6.972928524017334,0,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
,69,4.7106242179870605,0.4375,4.7106242179870605,0,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
,79,6.286954879760742,0.5562499761581421,6.286954879760742,0,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
