lr-AdamW,step,vqa/train/loss,vqa/train/score,epoch,vqa/val/loss,vqa/val/score,vqa/val/score_epoch,vqa/val/loss_epoch,val/the_metric,vqa/train/score_epoch,vqa/train/loss_epoch,train/the_metric
0.0001,14459,,,,,,,,,,,
0.0001,14459,,,,,,,,,,,
0.0001,14459,,,,,,,,,,,
0.0001,14459,,,,,,,,,,,
0.0001,14459,,,,,,,,,,,
0.0001,14459,,,,,,,,,,,
0.0001,14459,,,,,,,,,,,
0.0001,14459,,,,,,,,,,,
,14459,4.337095260620117,0.6187499761581421,17,,,,,,,,
0.0001,14469,,,,,,,,,,,
0.0001,14469,,,,,,,,,,,
0.0001,14469,,,,,,,,,,,
0.0001,14469,,,,,,,,,,,
0.0001,14469,,,,,,,,,,,
0.0001,14469,,,,,,,,,,,
0.0001,14469,,,,,,,,,,,
0.0001,14469,,,,,,,,,,,
,14469,3.86948823928833,0.581250011920929,17,,,,,,,,
0.0001,14479,,,,,,,,,,,
0.0001,14479,,,,,,,,,,,
0.0001,14479,,,,,,,,,,,
0.0001,14479,,,,,,,,,,,
0.0001,14479,,,,,,,,,,,
0.0001,14479,,,,,,,,,,,
0.0001,14479,,,,,,,,,,,
0.0001,14479,,,,,,,,,,,
,14479,4.9475226402282715,0.5874999761581421,17,,,,,,,,
0.0001,14489,,,,,,,,,,,
0.0001,14489,,,,,,,,,,,
0.0001,14489,,,,,,,,,,,
0.0001,14489,,,,,,,,,,,
0.0001,14489,,,,,,,,,,,
0.0001,14489,,,,,,,,,,,
0.0001,14489,,,,,,,,,,,
0.0001,14489,,,,,,,,,,,
,14489,2.2697510719299316,0.6812499761581421,17,,,,,,,,
0.0001,14499,,,,,,,,,,,
0.0001,14499,,,,,,,,,,,
0.0001,14499,,,,,,,,,,,
0.0001,14499,,,,,,,,,,,
0.0001,14499,,,,,,,,,,,
0.0001,14499,,,,,,,,,,,
0.0001,14499,,,,,,,,,,,
0.0001,14499,,,,,,,,,,,
,14499,5.0443434715271,0.5375000238418579,17,,,,,,,,
0.0001,14509,,,,,,,,,,,
0.0001,14509,,,,,,,,,,,
0.0001,14509,,,,,,,,,,,
0.0001,14509,,,,,,,,,,,
0.0001,14509,,,,,,,,,,,
0.0001,14509,,,,,,,,,,,
0.0001,14509,,,,,,,,,,,
0.0001,14509,,,,,,,,,,,
,14509,3.455709457397461,0.699999988079071,17,,,,,,,,
0.0001,14519,,,,,,,,,,,
0.0001,14519,,,,,,,,,,,
0.0001,14519,,,,,,,,,,,
0.0001,14519,,,,,,,,,,,
0.0001,14519,,,,,,,,,,,
0.0001,14519,,,,,,,,,,,
0.0001,14519,,,,,,,,,,,
0.0001,14519,,,,,,,,,,,
,14519,3.180769681930542,0.5625,17,,,,,,,,
0.0001,14529,,,,,,,,,,,
0.0001,14529,,,,,,,,,,,
0.0001,14529,,,,,,,,,,,
0.0001,14529,,,,,,,,,,,
0.0001,14529,,,,,,,,,,,
0.0001,14529,,,,,,,,,,,
0.0001,14529,,,,,,,,,,,
0.0001,14529,,,,,,,,,,,
,14529,2.3857405185699463,0.6437499523162842,17,,,,,,,,
0.0001,14539,,,,,,,,,,,
0.0001,14539,,,,,,,,,,,
0.0001,14539,,,,,,,,,,,
0.0001,14539,,,,,,,,,,,
0.0001,14539,,,,,,,,,,,
0.0001,14539,,,,,,,,,,,
0.0001,14539,,,,,,,,,,,
0.0001,14539,,,,,,,,,,,
,14539,3.9791259765625,0.6937500238418579,17,,,,,,,,
0.0001,14549,,,,,,,,,,,
0.0001,14549,,,,,,,,,,,
0.0001,14549,,,,,,,,,,,
0.0001,14549,,,,,,,,,,,
0.0001,14549,,,,,,,,,,,
0.0001,14549,,,,,,,,,,,
0.0001,14549,,,,,,,,,,,
0.0001,14549,,,,,,,,,,,
,14549,3.4832019805908203,0.4124999940395355,17,,,,,,,,
0.0001,14559,,,,,,,,,,,
0.0001,14559,,,,,,,,,,,
0.0001,14559,,,,,,,,,,,
0.0001,14559,,,,,,,,,,,
0.0001,14559,,,,,,,,,,,
0.0001,14559,,,,,,,,,,,
0.0001,14559,,,,,,,,,,,
0.0001,14559,,,,,,,,,,,
