lr-AdamW,step,vqa/train/loss,vqa/train/score,val/the_metric,epoch,vqa/val/loss,vqa/val/score,vqa/val/score_epoch,vqa/val/loss_epoch,vqa/train/score_epoch,vqa/train/loss_epoch,train/the_metric
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
0.0001,9,,,,,,,,,,,
,9,3.8859331607818604,0.5687499642372131,3.8859331607818604,0,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
0.0001,19,,,,,,,,,,,
,19,3.5161681175231934,0.6749999523162842,3.5161681175231934,0,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
0.0001,29,,,,,,,,,,,
,29,4.446758270263672,0.574999988079071,4.446758270263672,0,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
0.0001,39,,,,,,,,,,,
,39,3.042060375213623,0.46875,3.042060375213623,0,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
0.0001,49,,,,,,,,,,,
,49,3.1894259452819824,0.4937499761581421,3.1894259452819824,0,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
0.0001,59,,,,,,,,,,,
,59,3.5961105823516846,0.637499988079071,3.5961105823516846,0,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
0.0001,69,,,,,,,,,,,
,69,2.6398143768310547,0.5562499761581421,2.6398143768310547,0,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
0.0001,79,,,,,,,,,,,
,79,3.607961893081665,0.53125,3.607961893081665,0,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
0.0001,89,,,,,,,,,,,
