lr-AdamW,step,vqa/train/loss,vqa/train/score,epoch,vqa/val/loss,vqa/val/score,vqa/val/score_epoch,vqa/val/loss_epoch,val/the_metric,vqa/train/score_epoch,vqa/train/loss_epoch,train/the_metric
0.0001,28909,,,,,,,,,,,
0.0001,28909,,,,,,,,,,,
0.0001,28909,,,,,,,,,,,
0.0001,28909,,,,,,,,,,,
0.0001,28909,,,,,,,,,,,
0.0001,28909,,,,,,,,,,,
0.0001,28909,,,,,,,,,,,
0.0001,28909,,,,,,,,,,,
,28909,5.111392498016357,0.3687499761581421,34,,,,,,,,
0.0001,28919,,,,,,,,,,,
0.0001,28919,,,,,,,,,,,
0.0001,28919,,,,,,,,,,,
0.0001,28919,,,,,,,,,,,
0.0001,28919,,,,,,,,,,,
0.0001,28919,,,,,,,,,,,
0.0001,28919,,,,,,,,,,,
0.0001,28919,,,,,,,,,,,
,28919,5.135176658630371,0.26875001192092896,34,,,,,,,,
0.0001,28929,,,,,,,,,,,
0.0001,28929,,,,,,,,,,,
0.0001,28929,,,,,,,,,,,
0.0001,28929,,,,,,,,,,,
0.0001,28929,,,,,,,,,,,
0.0001,28929,,,,,,,,,,,
0.0001,28929,,,,,,,,,,,
0.0001,28929,,,,,,,,,,,
,28929,3.3050522804260254,0.581250011920929,34,,,,,,,,
0.0001,28939,,,,,,,,,,,
0.0001,28939,,,,,,,,,,,
0.0001,28939,,,,,,,,,,,
0.0001,28939,,,,,,,,,,,
0.0001,28939,,,,,,,,,,,
0.0001,28939,,,,,,,,,,,
0.0001,28939,,,,,,,,,,,
0.0001,28939,,,,,,,,,,,
,28939,3.102849245071411,0.26875001192092896,34,,,,,,,,
0.0001,28949,,,,,,,,,,,
0.0001,28949,,,,,,,,,,,
0.0001,28949,,,,,,,,,,,
0.0001,28949,,,,,,,,,,,
0.0001,28949,,,,,,,,,,,
0.0001,28949,,,,,,,,,,,
0.0001,28949,,,,,,,,,,,
0.0001,28949,,,,,,,,,,,
,28949,4.7516961097717285,0.40625,34,,,,,,,,
0.0001,28959,,,,,,,,,,,
0.0001,28959,,,,,,,,,,,
0.0001,28959,,,,,,,,,,,
0.0001,28959,,,,,,,,,,,
0.0001,28959,,,,,,,,,,,
0.0001,28959,,,,,,,,,,,
0.0001,28959,,,,,,,,,,,
0.0001,28959,,,,,,,,,,,
,28959,4.048233985900879,0.518750011920929,34,,,,,,,,
0.0001,28969,,,,,,,,,,,
0.0001,28969,,,,,,,,,,,
0.0001,28969,,,,,,,,,,,
0.0001,28969,,,,,,,,,,,
0.0001,28969,,,,,,,,,,,
0.0001,28969,,,,,,,,,,,
0.0001,28969,,,,,,,,,,,
0.0001,28969,,,,,,,,,,,
,28969,4.391825199127197,0.4437499940395355,34,,,,,,,,
0.0001,28979,,,,,,,,,,,
0.0001,28979,,,,,,,,,,,
0.0001,28979,,,,,,,,,,,
0.0001,28979,,,,,,,,,,,
0.0001,28979,,,,,,,,,,,
0.0001,28979,,,,,,,,,,,
0.0001,28979,,,,,,,,,,,
0.0001,28979,,,,,,,,,,,
,28979,3.347423791885376,0.45000001788139343,34,,,,,,,,
0.0001,28989,,,,,,,,,,,
0.0001,28989,,,,,,,,,,,
0.0001,28989,,,,,,,,,,,
0.0001,28989,,,,,,,,,,,
0.0001,28989,,,,,,,,,,,
0.0001,28989,,,,,,,,,,,
0.0001,28989,,,,,,,,,,,
0.0001,28989,,,,,,,,,,,
,28989,4.309017181396484,0.3375000059604645,34,,,,,,,,
0.0001,28999,,,,,,,,,,,
0.0001,28999,,,,,,,,,,,
0.0001,28999,,,,,,,,,,,
0.0001,28999,,,,,,,,,,,
0.0001,28999,,,,,,,,,,,
0.0001,28999,,,,,,,,,,,
0.0001,28999,,,,,,,,,,,
0.0001,28999,,,,,,,,,,,
,28999,4.54194974899292,0.44999998807907104,34,,,,,,,,
0.0001,29009,,,,,,,,,,,
0.0001,29009,,,,,,,,,,,
0.0001,29009,,,,,,,,,,,
0.0001,29009,,,,,,,,,,,
0.0001,29009,,,,,,,,,,,
0.0001,29009,,,,,,,,,,,
0.0001,29009,,,,,,,,,,,
0.0001,29009,,,,,,,,,,,
,29009,3.6935102939605713,0.2874999940395355,34,,,,,,,,
0.0001,29019,,,,,,,,,,,
0.0001,29019,,,,,,,,,,,
0.0001,29019,,,,,,,,,,,
0.0001,29019,,,,,,,,,,,
0.0001,29019,,,,,,,,,,,
0.0001,29019,,,,,,,,,,,
0.0001,29019,,,,,,,,,,,
0.0001,29019,,,,,,,,,,,
,29019,3.5395474433898926,0.625,34,,,,,,,,
0.0001,29029,,,,,,,,,,,
0.0001,29029,,,,,,,,,,,
0.0001,29029,,,,,,,,,,,
0.0001,29029,,,,,,,,,,,
0.0001,29029,,,,,,,,,,,
0.0001,29029,,,,,,,,,,,
0.0001,29029,,,,,,,,,,,
0.0001,29029,,,,,,,,,,,
,29029,4.076728820800781,0.543749988079071,34,,,,,,,,
0.0001,29039,,,,,,,,,,,
0.0001,29039,,,,,,,,,,,
0.0001,29039,,,,,,,,,,,
0.0001,29039,,,,,,,,,,,
0.0001,29039,,,,,,,,,,,
0.0001,29039,,,,,,,,,,,
0.0001,29039,,,,,,,,,,,
0.0001,29039,,,,,,,,,,,
,29039,3.5873777866363525,0.4437500238418579,34,,,,,,,,
0.0001,29049,,,,,,,,,,,
0.0001,29049,,,,,,,,,,,
0.0001,29049,,,,,,,,,,,
0.0001,29049,,,,,,,,,,,
0.0001,29049,,,,,,,,,,,
0.0001,29049,,,,,,,,,,,
0.0001,29049,,,,,,,,,,,
0.0001,29049,,,,,,,,,,,
,29049,4.656243324279785,0.32499998807907104,34,,,,,,,,
0.0001,29059,,,,,,,,,,,
0.0001,29059,,,,,,,,,,,
0.0001,29059,,,,,,,,,,,
0.0001,29059,,,,,,,,,,,
0.0001,29059,,,,,,,,,,,
0.0001,29059,,,,,,,,,,,
0.0001,29059,,,,,,,,,,,
0.0001,29059,,,,,,,,,,,
,29059,4.49134635925293,0.4437499940395355,34,,,,,,,,
